25009,37578,38966,39416,38974,38803,38544,37878,38187,37464,39309,36853,36968,38209,35841,37626
36414,39775,40069,39869,38644,38688,38318,38291,37854,36832,38685,36151,36494,37503,35214,36929
39275,40025,39256,38360,37598,38561,38432,36095,37156,36159,38144,35547,35640,36813,34813,36249
39330,38941,38172,39095,37522,37172,38386,38084,36479,35481,37399,34893,34850,35984,33952,35464
39518,38816,38467,38359,38811,37156,38512,36093,35484,34918,36687,34225,34455,35147,33518,34878
37807,38820,39103,38259,37548,38698,38505,38113,35169,34229,35970,33614,33751,34497,32635,34191
38511,39327,39194,38278,38745,38656,38435,38014,34658,33682,35307,32997,33054,33803,32246,33446
39271,38924,38571,39187,37573,38664,38421,38150,34050,33078,34667,32398,32524,33139,31569,32929
38647,36881,39218,38890,38879,38759,38486,38212,33458,32221,34023,31797,31954,32523,31135,32929
38286,37187,38631,38189,38792,37346,38200,38216,32548,31865,33385,31153,31429,32387,31130,32934
