85011,148409,189636,223431,241924,270432,275216,292321,290449,303727,300970,308348,299315,313089,296656,307132
140908,224878,272465,291997,292339,301929,297280,302402,261919,271696,267424,274160,266117,274908,260830,271564
187068,271711,282445,293066,288643,285939,286480,286706,239314,245002,241946,248931,238269,247633,235277,241363
222184,288176,284356,297926,287136,273087,276605,284357,219462,223496,220292,226905,216547,222349,211513,220565
245646,290052,286262,277515,286884,261826,264376,262330,202670,208394,201630,205372,200331,205075,194530,199937
248881,287617,275118,288969,276170,259934,260059,260841,188033,191472,187363,192808,185489,187695,180051,181914
265412,290273,288435,287354,274223,250415,247435,243867,176779,180751,174807,178836,171072,172771,165558,169086
283892,291788,284230,287846,263054,241011,235164,240637,165765,168540,162341,166386,158756,161088,152342,157649
275174,282558,277052,279679,260817,231328,230817,231172,156091,158165,152846,156007,148446,152045,145338,151052
261605,278964,278526,273627,252488,220282,222494,222227,147106,149274,144722,144939,141790,145349,141349,145058
