93181,164015,206229,250755,271051,301032,301646,327709,321504,337546,335834,340523,329897,345324,324827,338770
151976,247789,297933,324572,321301,332761,323424,332554,291207,300590,298333,301969,295002,301511,285934,297455
203740,302387,302032,318922,309944,312359,308320,307425,265646,271192,266244,273927,261799,271760,261765,263774
241574,307000,306809,312695,302958,293065,297336,299178,243678,246859,242597,250099,239223,241511,228246,238379
262130,300838,292740,297124,296304,268750,273888,260168,207541,226951,204169,221934,198546,193153,184606,188588
258387,261790,256177,266681,257872,243482,243141,244792,178615,181502,178548,183513,175345,178532,170543,173149
245723,264933,268003,264705,256838,235261,231023,230674,169283,173433,166606,170854,162981,165316,157736,160932
262435,268477,262906,262925,245008,226355,219576,224060,159191,162982,156265,159692,151986,154562,145908,149460
250467,255440,255546,254178,242144,214223,212200,214291,150405,153401,147041,148901,141251,144639,138686,143843
237111,252733,253149,249772,232760,203945,206207,206213,142104,145147,138762,139385,136136,140349,134930,138227
