24959,38079,38978,39788,39184,39692,38832,37839,38386,37622,39258,37009,36952,43834,37144,37606
33166,39647,39593,39835,38919,38861,38358,38367,37600,40574,39310,36293,36621,37474,35374,37141
39311,39845,39223,38473,37573,38811,38361,36232,42580,39231,38249,35658,35651,36840,34826,36223
39334,39032,38284,39220,37679,37279,38324,38170,36307,40603,39162,34951,35159,36047,34143,35588
39562,39266,38109,38575,38813,42716,40164,36199,35754,34853,36836,34226,34545,35201,33574,40041
39169,39102,39119,38448,37587,38714,38540,38145,35005,34235,36171,33708,33836,38856,34088,34009
38599,39335,39403,38451,38731,38731,38499,37895,34228,33622,35536,33068,37074,33987,32236,33460
39372,39073,38560,39223,37591,38716,38392,38176,33903,37785,37093,32399,32459,33300,31597,32565
38692,36406,39313,38983,38835,38805,38558,38240,33322,32464,37209,31774,31972,32781,31170,32556
38345,39081,38559,38363,38819,37434,38241,38249,32736,35473,33522,31335,31363,32768,35778,33032
