30115,39449,39339,40619,39515,40083,38873,38155,38487,37608,39831,37406,37304,38407,36180,37864
37912,41214,40064,40488,39281,39095,38598,38363,38082,37086,39246,36684,36794,42631,35782,37354
39511,40552,39463,38734,37698,39340,38806,36284,37486,36588,38696,36118,36319,37013,35273,36708
39662,39934,38847,39428,37697,42336,38584,38385,36917,36002,38140,35533,35668,36721,34523,40331
39896,39655,38729,38831,39061,37435,38809,36156,36230,35525,37511,35034,35369,36141,34244,35486
38944,39236,39425,38615,37655,39001,38652,38377,35882,34931,36948,39080,37498,35630,33385,34917
39455,39216,39367,38656,38882,38927,38625,38123,35470,34530,36406,33939,38527,36745,33234,34094
39686,39469,38760,39675,37673,38934,38562,38265,35006,34067,35856,33444,33788,34438,32528,37867
39466,36740,39383,39185,38997,39009,38607,38307,34527,33592,35319,32924,33412,34025,32263,33924
39167,39196,38709,38623,39032,37413,38568,38318,33918,33076,34844,32379,32968,34027,32264,33925
