33443,45060,44040,47332,43862,46263,43926,44033,43496,40548,45851,40717,43207,42306,39435,43070
42065,45537,46413,45683,42045,45433,42041,44593,41500,42684,41709,41393,39295,42849,39137,41860
43187,45049,42983,43632,40335,45215,41432,41749,40170,40970,41416,41763,39610,43490,38447,42453
42455,46406,42599,45307,41847,43779,41873,44705,40491,41796,40684,39756,38315,40748,36994,40216
42569,45724,41371,44590,42167,43157,41689,40440,39032,41559,42056,38788,39142,38751,38381,41358
42922,43637,43688,41219,42479,42498,42741,40875,40612,38429,40835,40199,38219,38126,38093,37325
45576,43028,46272,43288,41816,43894,42046,42307,41405,38071,42602,37546,39770,38052,38391,36420
45897,43235,45057,43237,43543,43178,44554,42600,37391,38200,38545,38599,36738,39426,35395,38271
42173,41972,42818,45645,42355,45517,42330,44801,38179,39297,38654,38049,35871,38003,35152,37596
41821,43877,41623,42774,42332,41487,41108,43231,36423,37506,38001,36670,35311,38340,35248,38040
