24985,38496,44915,40598,39544,44694,39460,38690,42963,39339,39835,42699,39275,38673,37443,40644
31307,45684,41278,40548,45128,40985,38837,44039,40037,37227,39132,41783,38869,37944,40088,37488
39628,44054,39532,38886,42186,40187,38907,39788,39332,36523,43825,37248,41192,38215,35111,40945
40929,39234,38776,43962,37853,37505,43307,38455,36784,39623,38449,35521,39539,36858,38985,38082
39916,39316,43959,41431,39217,42928,39652,36407,41350,36551,37056,39273,36049,35817,38069,35275
38212,44591,39462,38536,37842,43637,38974,38456,40735,35579,36486,38887,35822,35055,36646,34587
38960,45477,41164,38579,39226,43615,39602,38328,40192,35879,35779,38067,33855,38986,32799,33798
39639,45144,41059,39647,42938,40980,38835,38493,38473,33609,40324,34685,32930,33753,33253,33355
44572,38707,39475,39398,39225,44762,40050,38541,38770,34193,34504,35789,32320,37065,32085,33356
42941,38732,38763,38507,43782,37858,38613,38544,37818,33505,33842,35122,31849,33183,33571,33352
