35133,43903,44564,44362,44468,43003,43501,40840,43050,40758,43576,43272,41114,44552,39859,43817
42897,42630,45075,46484,42695,45466,40162,43738,39115,41723,40006,40787,38903,43902,36958,42939
42552,46225,42282,45171,39955,45081,40889,42285,39410,42039,42022,40113,39588,41219,38245,42748
43166,41386,42500,40113,42241,42855,40756,42173,40447,41030,40921,41201,37376,42253,36666,41922
42919,40152,43778,44180,42596,42694,40961,42042,38531,41385,39878,40565,37008,41992,36817,36076
43906,40449,45795,40931,43394,41533,39248,43049,36633,40135,37724,38767,35512,39948,38454,37255
45606,42999,40572,43186,39566,44847,41064,44157,37834,40002,38930,39261,36233,40224,33868,38527
41038,43868,44841,42524,43219,40994,44451,40867,40308,36595,41601,35743,38864,35957,37791,35290
45742,38968,40128,44117,39903,43787,39359,42662,35509,37427,41082,34925,38462,35802,37365,35907
45481,41463,45165,39677,45305,39744,39221,43067,35056,37362,35537,36493,33647,36591,37364,34393
