24389,38306,43864,39940,39474,44083,40282,39101,42542,39077,44872,39072,37296,43192,37883,38041
36790,40974,46295,43613,39536,45244,41503,44149,41266,37323,44920,38473,37103,42518,36826,38393
43253,41315,45761,41147,37892,44029,40168,42079,40830,37111,44630,38899,36175,41854,36057,42225
41864,44886,42083,39778,38011,42511,40348,44064,39742,37067,42344,36599,41346,38867,34396,40404
41582,45413,42358,38728,45480,40349,39599,39918,37615,40475,39718,34830,39197,36468,38125,37027
44149,41876,39559,44660,40198,39093,44546,40789,40677,37530,37230,38116,35246,39765,34831,39700
42114,39531,39841,42080,40148,44074,39656,38367,39032,34563,40190,34868,39049,36254,37548,36619
40568,45162,41057,39943,43809,41696,38830,44464,37189,34514,39158,34074,37560,35226,36812,35125
39084,42087,41761,42771,42741,39174,38928,42911,33845,37068,35561,37377,34080,38627,33961,37524
41712,38716,45090,40885,45012,41009,38697,44166,34995,37572,35505,36673,34355,38295,34047,33485
