91656,161063,203238,247529,266627,296544,299965,325311,318581,330796,329513,332727,323582,337083,319523,332775
150948,246292,297536,320654,317128,323912,317638,324348,286471,295721,294356,298149,291519,297203,282477,294132
200890,295031,295041,312381,304924,305744,303317,301908,260293,266032,261465,265321,253755,263315,248366,251692
237105,286726,291180,304619,272202,285699,272315,261884,238407,228497,207418,213984,204692,209289,198008,206560
227670,265012,261100,258567,266834,245731,248072,247295,192605,197830,192509,193888,188643,193098,184784,188280
226001,261873,253977,267393,255122,242915,239757,240105,178517,181356,178347,183050,175211,178483,170468,172073
246734,258807,262156,257988,252163,230406,227324,226323,169202,171434,166469,168788,160533,163500,157001,159358
257522,264079,256758,260738,240541,223543,216497,220420,158941,161026,156081,157247,151652,152102,145573,150154
247336,255682,254422,253957,239875,214816,212975,213446,149610,152023,146850,148997,141392,145642,138547,145500
239757,255842,253941,249165,232866,203744,207425,203666,141852,145291,138880,139232,135853,140412,134963,137995
