48,93,135,172,212,229,189,154,100,91,73,70,61,58,53,51
93,171,222,158,100,107,91,92,105,91,77,74,64,60,55,54
135,232,104,98,93,101,88,90,109,94,79,76,65,65,57,57
171,127,94,94,88,96,86,91,114,100,83,80,68,68,59,61
196,103,91,94,89,97,88,92,117,106,86,84,71,71,62,64
186,96,93,92,89,98,91,96,123,111,88,89,72,76,63,69
141,95,91,93,90,104,93,97,131,118,91,93,75,82,65,71
124,92,91,96,91,103,94,101,138,122,94,97,77,86,68,74
100,98,93,96,93,105,94,103,141,131,98,102,79,90,69,78
94,94,91,96,92,105,95,104,150,135,98,107,81,92,71,82
