7022,9288,11489,11655,11679,11722,11611,11591,11553,11479,11570,11539,11590,11328,11636,11569
9331,11685,11805,11745,11702,11589,11597,11585,11518,11434,11548,11529,11562,11276,11586,11507
11545,11602,11583,11776,11696,11614,11608,11597,11488,11409,11513,11490,11413,11157,11439,11372
11628,11582,11582,11648,11402,11523,11261,11516,11361,11249,11379,11351,11376,11079,11377,11301
11638,11513,11584,11503,11598,11531,11263,11200,11209,11131,11240,11207,11226,10936,11224,11148
10950,11551,11484,11568,11502,11450,11438,11449,11155,11084,11198,11164,11172,10912,11144,11103
11222,11528,11466,11435,11322,11450,11450,11128,11127,11024,11168,11113,11108,10775,11002,10944
11382,11434,11408,11493,11227,11360,11081,11368,10996,10895,11016,10976,10969,10723,10929,10878
11147,10506,11403,11516,11421,11346,11359,11399,10936,10851,10977,10921,10904,10666,10860,10839
11125,11448,11410,11336,11423,11334,11094,11401,10875,10802,10916,10852,10828,10586,10813,10779
