38033,72314,93948,120790,133813,150239,151736,162117,164325,172589,167650,178497,175318,179283,180991,185463
64518,118106,150242,166476,170919,169601,174305,178441,154032,157971,155229,165005,162760,168757,164388,171135
91925,152190,160349,173940,167090,164644,162956,173860,146356,147324,144688,153751,155877,153770,153666,158098
115743,164179,170693,174380,171008,166849,169809,168928,138415,140200,138724,145838,143523,149485,145334,147811
129180,167071,166077,170105,168562,158537,159545,164925,130997,134521,133144,139091,135892,138781,137056,137659
133351,170402,164799,172687,166916,161982,157995,160229,124174,129205,125283,133087,131701,133135,128698,130647
145776,168256,164581,171757,162122,152460,157471,158402,118415,124685,121567,125945,123092,125167,118952,123066
158850,170096,170492,170214,162917,150876,152357,155949,114487,120127,114276,121061,116361,120857,116310,119089
152980,161149,168862,168133,161620,148255,148605,150923,111147,115137,110195,116511,113411,116643,111575,112638
147882,168687,162887,166101,157279,147126,142764,146507,105757,110739,107125,111697,110061,111401,106828,108612
